Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Indonesia,IDN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,65.77,66.04,66.32,66.63,66.97,67.33,67.72,68.11,68.49,68.85,69.21,69.54,69.87,70.18,70.48,70.77,71.04,71.28,71.51,71.72
Iran,IRN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,70.18,70.55,70.92,71.27,71.59,71.92,72.26,72.63,73.03,73.46,73.91,74.35,74.78,75.16,75.5,75.8,76.05,76.27,76.48,76.68
Iraq,IRQ,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,69.08,68.98,68.83,68.64,68.44,68.27,68.16,68.13,68.19,68.34,68.57,68.85,69.15,69.44,69.7,69.93,70.12,70.29,70.45,70.6
Ireland,IRL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,76.54,77.13,77.63,78.14,78.54,78.94,79.24,79.64,80.1,80.19,80.74,80.75,80.85,80.95,81.35,81.45,81.65,82.16,82.2,82.7
Israel,ISR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,78.95,79.41,79.45,79.65,80.15,80.15,80.55,80.5,80.95,81.4,81.6,81.66,81.7,82.06,82.15,82.05,82.41,82.55,82.8,82.8
Italy,ITA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,79.78,80.13,80.23,79.98,80.78,80.78,81.28,81.43,81.49,81.64,82.04,82.19,82.24,82.69,83.09,82.54,83.24,82.95,83.35,83.5
Jamaica,JAM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,74.14,74.14,74.14,74.14,74.15,74.15,74.14,74.13,74.1,74.07,74.04,74.01,74,74.01,74.04,74.1,74.18,74.27,74.37,74.48
Japan,JPN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,81.08,81.42,81.56,81.76,82.03,81.93,82.32,82.51,82.59,82.93,82.84,82.59,83.1,83.33,83.59,83.79,83.98,84.1,84.21,84.36
Jordan,JOR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,71.73,71.91,72.08,72.26,72.43,72.6,72.76,72.93,73.1,73.27,73.43,73.58,73.72,73.85,73.97,74.08,74.18,74.29,74.41,74.53
Kazakhstan,KAZ,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,65.45,65.76,65.95,65.74,66.06,65.86,66.15,66.34,67.11,68.39,68.45,68.69,69.52,70.62,71.44,71.97,72.41,72.95,73.15,73.18
Kenya,KEN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,50.92,51.1,51.61,52.41,53.48,54.73,56.09,57.46,58.76,59.93,60.96,61.85,62.66,63.42,64.14,64.8,65.39,65.91,66.34,66.7
Kiribati,KIR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,63.14,63.45,63.73,64,64.24,64.48,64.71,64.95,65.21,65.48,65.77,66.07,66.38,66.69,67,67.29,67.58,67.85,68.12,68.37
"Korea, Dem. People's Rep.",PRK,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,65.27,66.09,66.93,67.62,68.1,68.39,68.54,68.68,68.88,69.19,69.57,70.01,70.45,70.85,71.2,71.48,71.71,71.91,72.1,72.27
South Korea,KOR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,75.91,76.41,76.77,77.21,77.67,78.17,78.67,79.12,79.52,79.97,80.12,80.57,80.82,81.27,81.72,82.02,82.28,82.63,82.63,83.23
Kuwait,KWT,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,73.14,73.21,73.28,73.36,73.44,73.54,73.66,73.81,73.98,74.16,74.36,74.55,74.73,74.89,75.02,75.13,75.22,75.31,75.4,75.49
Kyrgyz Republic,KGZ,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,68.56,68.71,68.16,68.26,68.15,67.96,67.7,67.9,68.45,69.1,69.3,69.6,70,70.2,70.4,70.65,70.95,71.2,71.4,71.6
Lao People's Democratic Republic,LAO,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,58.8,59.37,59.94,60.5,61.07,61.63,62.18,62.73,63.27,63.8,64.31,64.8,65.27,65.72,66.14,66.55,66.92,67.28,67.61,67.92
Latvia,LVA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,70.31,70.76,70.96,71.27,72.03,71.36,70.87,71.02,72.42,73.08,73.48,73.58,73.78,73.98,74.12,74.48,74.58,74.63,74.78,75.39
Lebanon,LBN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,74.51,75,75.49,75.97,76.43,76.87,77.26,77.61,77.91,78.16,78.36,78.51,78.61,78.68,78.73,78.77,78.8,78.83,78.88,78.93
Lesotho,LSO,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,47.69,46.2,44.9,43.85,43.08,42.66,42.6,42.85,43.38,44.15,45.1,46.21,47.42,48.66,49.89,51.04,52.06,52.95,53.71,54.33
Liberia,LBR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,51.73,52.24,52.83,53.55,54.42,55.39,56.4,57.37,58.23,58.97,59.6,60.15,60.66,61.19,61.72,62.27,62.8,63.3,63.73,64.1
Libya,LBY,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,70.85,71.04,71.24,71.47,71.69,71.9,72.06,72.16,72.17,72.13,72.04,71.96,71.9,71.91,71.98,72.12,72.31,72.52,72.72,72.91
Lithuania,LTU,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,72.02,71.66,71.76,72.06,71.96,71.25,71.06,70.9,71.81,72.91,73.27,73.56,73.86,73.91,74.52,74.32,74.67,75.48,75.68,76.28
Luxembourg,LUX,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,77.87,77.82,77.97,77.73,79.12,79.43,79.29,79.38,80.54,80.64,80.63,80.99,81.39,81.8,82.23,82.29,82.69,82.1,82.3,82.64
Madagascar,MDG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,58.49,59.13,59.72,60.26,60.75,61.21,61.65,62.08,62.51,62.94,63.39,63.84,64.28,64.71,65.13,65.54,65.93,66.31,66.68,67.04
Malawi,MWI,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,45.09,45.2,45.52,46.05,46.82,47.84,49.12,50.6,52.21,53.89,55.56,57.16,58.63,59.93,61.04,61.95,62.68,63.28,63.8,64.26
Malaysia,MYS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,72.59,72.78,72.98,73.17,73.36,73.56,73.74,73.93,74.12,74.31,74.49,74.68,74.88,75.07,75.27,75.46,75.65,75.83,76,76.16
Maldives,MDV,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,70.17,70.96,71.71,72.4,73.03,73.61,74.14,74.62,75.07,75.5,75.91,76.29,76.66,77.02,77.36,77.69,78.01,78.33,78.63,78.92
Mali,MLI,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,48.07,48.76,49.54,50.37,51.22,52.06,52.84,53.55,54.19,54.76,55.25,55.7,56.14,56.58,57.04,57.51,57.99,58.45,58.89,59.31
