Spain,12.43,..,..,..,..,12.83,..,..,..,..,10.03,..,..,..,..,11.32,..,..,12.72,..
Sri Lanka,2.22,..,..,..,..,2.59,..,..,..,..,3.92,..,..,..,..,4.1,..,..,4.1,..
St. Lucia,11.8,..,..,..,..,11.62,..,..,..,..,9.69,..,..,..,..,9.96,..,..,10.6,..
St. Vincent and the Grenadines,5.01,..,..,..,..,5.99,..,..,..,..,7.03,..,..,..,..,8.46,..,..,9.06,..
Suriname,5.29,..,..,..,..,5.41,..,..,..,..,6.22,..,..,..,..,5.81,..,..,5.33,..
Sweden,8.53,..,..,..,..,8.64,..,..,..,..,9.49,..,..,..,..,9.13,..,..,8.93,..
Switzerland,12.49,..,..,..,..,11.64,..,..,..,..,11.41,..,..,..,..,11.58,..,..,11.53,..
Syrian Arab Republic,1.15,..,..,..,..,0.92,..,..,..,..,0.88,..,..,..,..,0.28,..,..,0.24,..
Tajikistan,2.97,..,..,..,..,2.51,..,..,..,..,2.4,..,..,..,..,3.11,..,..,3.28,..
Tanzania,8.63,..,..,..,..,8.71,..,..,..,..,9.74,..,..,..,..,11.05,..,..,11.27,..
Thailand,6.49,..,..,..,..,6.81,..,..,..,..,7.71,..,..,..,..,8.36,..,..,8.3,..
Togo,1.79,..,..,..,..,3.26,..,..,..,..,2.11,..,..,..,..,2.37,..,..,2.46,..
Trinidad and Tobago,5.27,..,..,..,..,6.17,..,..,..,..,6.21,..,..,..,..,6.88,..,..,6.72,..
Tunisia,1.36,..,..,..,..,1.46,..,..,..,..,1.4,..,..,..,..,1.99,..,..,2.12,..
Turkiye,2.41,..,..,..,..,2.12,..,..,..,..,2.32,..,..,..,..,2.12,..,..,2.05,..
Turkmenistan,4.82,..,..,..,..,4.88,..,..,..,..,4.82,..,..,..,..,5.3,..,..,4.93,..
Uganda,13.61,..,..,..,..,12.92,..,..,..,..,13.5,..,..,..,..,15.14,..,..,15.09,..
Ukraine,12.46,..,..,..,..,12.01,..,..,..,..,13.57,..,..,..,..,10.16,..,..,8.32,..
United Kingdom,13.73,..,..,..,..,13.89,..,..,..,..,12.06,..,..,..,..,11.21,..,..,11.45,..
United States,9.19,..,..,..,..,9.49,..,..,..,..,9.36,..,..,..,..,9.82,..,..,9.87,..
Uruguay,8.09,..,..,..,..,7.46,..,..,..,..,7.1,..,..,..,..,6.99,..,..,6.92,..
Uzbekistan,5.68,..,..,..,..,4.15,..,..,..,..,3.01,..,..,..,..,2.59,..,..,2.59,..
Vanuatu,1.17,..,..,..,..,1.2,..,..,..,..,1.7,..,..,..,..,2.14,..,..,2.25,..
"Venezuela, RB",9.15,..,..,..,..,9.42,..,..,..,..,8.67,..,..,..,..,6.82,..,..,4.14,..
Vietnam,2.21,..,..,..,..,2.63,..,..,..,..,4.9,..,..,..,..,7.86,..,..,8.66,..
"Yemen, Rep.",0.79,..,..,..,..,0.34,..,..,..,..,0.18,..,..,..,..,0.055,..,..,0.051,..
Zambia,4.05,..,..,..,..,3.9,..,..,..,..,5.43,..,..,..,..,6.89,..,..,6.54,..
Zimbabwe,2.46,..,..,..,..,2.77,..,..,..,..,3.93,..,..,..,..,4.92,..,..,4.67,..
Sudan,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.52,..,..,0.51,..
"Bahamas, The",5.58,..,..,..,..,4.28,..,..,..,..,4.12,..,..,..,..,4.55,..,..,4.78,..
"Congo, Rep.",3.45,..,..,..,..,3.75,..,..,..,..,6.17,..,..,..,..,7.9,..,..,9.27,..
"Congo, Dem. Rep.",0.95,..,..,..,..,0.86,..,..,..,..,1.75,..,..,..,..,2.05,..,..,2,..
Slovak Republic,12.47,..,..,..,..,12.06,..,..,..,..,12,..,..,..,..,11.53,..,..,11.14,..
Aruba,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,,,
Last Updated: 12/22/2022,,,,,,,,,,,,,,,,,,,,
